,v1,v2
2024-11-01 00:00:00,1.2824869,0.37793604
2024-11-01 01:00:00,1.2539968,0.35015738
2024-11-01 02:00:00,1.2746716,0.34803197
2024-11-01 03:00:00,1.3197933,0.3741399
2024-11-01 04:00:00,1.3001324,0.3710819
2024-11-01 05:00:00,1.3001324,0.3615703
2024-11-01 06:00:00,1.2849654,0.35329437
2024-11-01 07:00:00,1.25851,0.48765606
2024-11-01 08:00:00,1.0927117,0.6069435
2024-11-01 09:00:00,1.0748401,0.62693805
2024-11-01 10:00:00,1.0759305,0.61073476
2024-11-01 11:00:00,1.0759305,0.61791056
2024-11-01 12:00:00,1.0969869,0.62617534
2024-11-01 13:00:00,1.0354544,0.59285676
2024-11-01 14:00:00,0.9803062,0.60155016
2024-11-01 15:00:00,1.042642,0.60058564
2024-11-01 16:00:00,1.1064408,0.60735935
2024-11-01 17:00:00,1.4370123,0.24315603
2024-11-01 18:00:00,1.334073,0.36574966
2024-11-01 19:00:00,1.334073,0.32700124
2024-11-01 20:00:00,1.3503821,0.4227515
2024-11-01 21:00:00,1.2285836,0.43015847
2024-11-01 22:00:00,1.3207484,0.4182391
2024-11-01 23:00:00,1.2104328,0.40116715
2024-11-02 00:00:00,1.3480414,0.39379317
2024-11-02 01:00:00,1.3270472,0.3668519
2024-11-02 02:00:00,1.3477219,0.3458807
2024-11-02 03:00:00,1.3821459,0.3847023
2024-11-02 04:00:00,1.3821459,0.38615805
2024-11-02 05:00:00,1.3624849,0.3790388
2024-11-02 06:00:00,1.3624849,0.3643798
2024-11-02 07:00:00,1.3624169,0.48218146
2024-11-02 08:00:00,1.1500242,0.60864395
2024-11-02 09:00:00,1.1321526,0.6334447
2024-11-02 10:00:00,1.1280227,0.61827224
2024-11-02 11:00:00,1.1280227,0.61837906
2024-11-02 12:00:00,1.1097586,0.6243455
2024-11-02 13:00:00,1.0845435,0.60039425
2024-11-02 14:00:00,1.0293951,0.60201865
2024-11-02 15:00:00,1.0293951,0.60105413
2024-11-02 16:00:00,1.099342,0.60782784
2024-11-02 17:00:00,1.4370123,0.24671258
2024-11-02 18:00:00,1.334073,0.37959933
2024-11-02 19:00:00,1.334073,0.33348218
2024-11-02 20:00:00,1.3503821,0.43706962
2024-11-02 21:00:00,1.2847714,0.43604997
2024-11-02 22:00:00,1.2840548,0.42734644
2024-11-02 23:00:00,1.2737194,0.4093732
2024-11-03 00:00:00,1.2933865,0.4000737
2024-11-03 01:00:00,1.3413677,0.36553067
2024-11-03 02:00:00,1.3884919,0.34533635
2024-11-03 03:00:00,1.3736942,0.38301215
2024-11-03 04:00:00,1.3933551,0.3844679
2024-11-03 05:00:00,1.3736942,0.37734866
2024-11-03 06:00:00,1.3736942,0.36268964
2024-11-03 07:00:00,1.3736261,0.48580578
2024-11-03 08:00:00,1.1593164,0.5957139
2024-11-03 09:00:00,1.1414448,0.6319401
2024-11-03 10:00:00,1.1478258,0.6166674
2024-11-03 11:00:00,1.1478258,0.6167742
2024-11-03 12:00:00,1.1184397,0.6227406
2024-11-03 13:00:00,1.1043466,0.5987894
2024-11-03 14:00:00,1.0491983,0.6031933
2024-11-03 15:00:00,1.0491983,0.61082214
2024-11-03 16:00:00,1.1146685,0.61759585
2024-11-03 17:00:00,1.4465901,0.25848803
2024-11-03 18:00:00,1.3512024,0.4030157
2024-11-03 19:00:00,1.3512024,0.36715168
2024-11-03 20:00:00,1.365365,0.45982075
2024-11-03 21:00:00,1.304231,0.46248543
2024-11-03 22:00:00,1.3029032,0.43503004
2024-11-03 23:00:00,1.285469,0.41913775
2024-11-04 00:00:00,1.3022001,0.38791487
2024-11-04 01:00:00,1.3017598,0.3616002
2024-11-04 02:00:00,1.3269285,0.35262448
2024-11-04 03:00:00,1.3226417,0.3790485
2024-11-04 04:00:00,1.3226417,0.37555674
2024-11-04 05:00:00,1.3074747,0.36258653
2024-11-04 06:00:00,1.2672055,0.3543106
2024-11-04 07:00:00,1.2720926,0.524876
2024-11-04 08:00:00,1.1017903,0.68088305
2024-11-04 09:00:00,1.089729,0.6700614
2024-11-04 10:00:00,1.0855991,0.6635069
2024-11-04 11:00:00,1.0855991,0.66221774
2024-11-04 12:00:00,1.1035504,0.67866033
2024-11-04 13:00:00,1.0695202,0.65193975
2024-11-04 14:00:00,1.0695202,0.65040195
2024-11-04 15:00:00,1.0695202,0.64437336
2024-11-04 16:00:00,1.1531038,0.6470837
2024-11-04 17:00:00,1.4366285,0.26295647
2024-11-04 18:00:00,1.3402386,0.37249848
2024-11-04 19:00:00,1.3331398,0.3300657
2024-11-04 20:00:00,1.3548541,0.43029612
2024-11-04 21:00:00,1.2532018,0.43401876
2024-11-04 22:00:00,1.251874,0.41656125
2024-11-04 23:00:00,1.2344398,0.4042316
2024-11-05 00:00:00,1.3647156,0.38548997
2024-11-05 01:00:00,1.2320988,0.3591753
2024-11-05 02:00:00,1.3828208,0.35019958
2024-11-05 03:00:00,1.2529807,0.37683883
2024-11-05 04:00:00,1.3116539,0.37334707
2024-11-05 05:00:00,1.2964869,0.36755183
2024-11-05 06:00:00,1.2498794,0.35210094
2024-11-05 07:00:00,1.2610916,0.5218409
2024-11-05 08:00:00,1.0907893,0.67951345
2024-11-05 09:00:00,1.078728,0.6686918
2024-11-05 10:00:00,1.0745981,0.6619221
2024-11-05 11:00:00,1.0745981,0.6880188
2024-11-05 12:00:00,1.0925494,0.6770755
